Actual_Sales,Predicted_Sales,Difference
2260.0,52.91897,2207.0810317993164
41689.64,28123.398,13566.2415625
1771.92,59.576843,1712.3431567382813
18864.04,11384.066,7479.973593750001
3020.78,388.57962,2632.200379638672
600.45,65.3061,535.1439010620118
3368.0,49.99797,3318.0020294189453
36.74,96.81216,-60.07215667724609
574.98,69.38079,505.5992092895508
1882.92,47.697243,1835.2227572631837
9369.06,2736.3318,6632.7282128906245
40.5,66.54475,-26.04474639892578
9268.87,3148.7068,6120.163212890626
16819.67,9782.713,7036.957109374998
1031.44,65.04758,966.3924230957032
21494.77,12290.908,9203.861796875
651.2,62.34002,588.8599807739258
12046.36,5278.0938,6768.266250000001
2750.0,48.954643,2701.0453567504883
87796.62,64653.93,23142.690312499995
7115.78,4222.4707,2893.3092968749997
1244.3,60.363586,1183.9364135742187
12535.87,5249.3955,7286.474492187501
13086.82,6409.0415,6677.77849609375
492.22,62.035393,430.18460723876956
8192.77,2377.5217,5815.248271484375
8132.5,1638.6292,6493.870849609375
6612.11,536.90454,6075.205458984375
627.36,63.52365,563.8363488769531
6690.22,1501.7493,5188.470732421875
4213.76,25.101826,4188.658174285889
25990.75,19757.768,6232.982421875
1259.23,56.115486,1203.1145138549805
83.21,69.875046,13.334954223632806
30913.13,22834.58,8078.549921875001
1839.85,51.60121,1788.2487884521483
74239.01,54022.273,20216.736562499995
3502.12,46.86454,3455.2554598999022
4281.71,40.692955,4241.01704498291
30659.82,15979.945,14679.8746875
29566.64,19469.06,10097.579453125
12083.6,6303.6504,5779.949609375
3102.8,49.43904,3053.360958862305
4941.33,29.966558,4911.363441543579
11257.38,4455.417,6801.963007812499
21741.23,16566.26,5174.970234375
11832.93,5756.1226,6076.80744140625
1934.38,56.683655,1877.6963452148439
12162.5,3443.0374,8719.462646484375
16439.39,13386.33,3053.0599218749994
45865.48,33175.605,12689.874531250003
6790.88,773.5104,6017.369624023438
38.0,72.002464,-34.002464294433594
24.3,66.96651,-42.666506958007815
29592.56,22229.861,7362.698671875001
15766.61,7187.6885,8578.9215234375
30549.92,17908.875,12641.044999999998
1447.86,57.324875,1390.5351251220702
140.8,66.72539,74.07461242675782
26286.98,18482.115,7804.864765625
10045.89,11422.369,-1376.4791406250006
36885.65,27303.94,9581.710546875001
19187.66,11893.745,7293.9148828125
4495.17,34.278328,4460.8916720581055
13366.87,9051.586,4315.284062500001
26987.54,25758.19,1229.3505468750009
8504.26,724.5178,7779.742177734375
1060.36,63.28115,997.0788491821288
43863.69,34325.145,9538.545468750002
26106.22,18995.873,7110.346953125001
6815.66,1214.4419,5601.21810546875
2514.0,46.31034,2467.6896591186523
59.28,68.21259,-8.93259307861328
4183.52,39.33161,4144.1883883667
9125.78,4497.0996,4628.680390625001
13243.38,4001.237,9242.142939453124
10.0,68.10198,-58.10198211669922
452.1,65.29266,386.8073364257813
13286.14,4759.77,8526.36998046875
54665.85,45199.63,9466.221093749999
12153.38,9498.169,2655.211054687499
47032.62,35653.996,11378.623906250003
4537.47,40.1054,4497.364599914551
2947.36,44.284782,2903.075217590332
1319.22,55.16353,1264.0564715576172
3442.08,40.709953,3401.3700466918945
11612.0,5610.9956,6001.00439453125
4528.08,43.41422,4484.665781097412
25396.49,19609.443,5787.046640625002
15272.43,11363.24,3909.1897656250003
56.47,71.07271,-14.602708129882814
4584.56,33.431908,4551.128092346192
18810.49,12539.451,6271.038828125002
12649.77,3856.8909,8792.879130859375
14768.9,6257.7837,8511.11630859375
9316.77,2311.5393,7005.230693359375
12334.34,3073.1853,9261.154697265625
17829.18,12202.054,5627.1262890625
22992.96,10776.47,12216.4902734375
